shop,description,vector,naf_division
alcohol,Shop selling alcohol to take away,"[-0.20218145  0.27515758  0.68982329 -0.3678965   0.70657053 -0.03650204
 -0.1878867  -0.18139373  0.01475975]",Restauration
bakery,Shop focused on selling bread,"[-0.23326553  0.23607651  0.61827858 -0.31865881  0.61887157 -0.05890836
 -0.1215863  -0.16813452 -0.01150457]","Commerce de détail, à l’exception des automobiles et des motocycles"
beverages,Shop focused on selling alcoholic and non-alcoholic beverages. See also shop=alcohol.,"[-0.20781231  0.22741146  0.61021293 -0.34915904  0.62893928 -0.02513583
 -0.17009111 -0.19766382  0.01452392]",Autres industries extractives
brewing_supplies,"Shop focused on selling supplies for home brewing of beer, wine and spirits (where permitted).","[-1.76094147e-01  2.21200007e-01  6.02176282e-01 -3.28061860e-01
  6.08890669e-01 -2.02834073e-02 -1.57715757e-01 -2.35680320e-01
 -2.65999956e-05]",Autres industries extractives
butcher,Shop focused on selling meat,"[-0.23326553  0.23607651  0.61827858 -0.31865881  0.61887157 -0.05890836
 -0.1215863  -0.16813452 -0.01150457]",Industries alimentaires
cheese,Shop focused on selling cheese.,"[-0.23326553  0.23607651  0.61827858 -0.31865881  0.61887157 -0.05890836
 -0.1215863  -0.16813452 -0.01150457]",Industries alimentaires
chocolate,Shop focused on selling chocolate.,"[-0.23326553  0.23607651  0.61827858 -0.31865881  0.61887157 -0.05890836
 -0.1215863  -0.16813452 -0.01150457]",Autres industries manufacturières
coffee,Shop focused on selling coffee.,"[-0.23326553  0.23607651  0.61827858 -0.31865881  0.61887157 -0.05890836
 -0.1215863  -0.16813452 -0.01150457]",Autres industries manufacturières
confectionery,Shop focused on selling sweets or candy,"[-0.2065693   0.23143982  0.58155226 -0.30364127  0.62396745 -0.0445706
 -0.11499609 -0.19741058 -0.00078189]",Autres industries manufacturières
convenience,A small local shop carrying a small subset of the items you would find in a supermarket,"[-0.22307407  0.23670156  0.60497914 -0.39637502  0.63699584 -0.00933702
 -0.20097266 -0.2276837  -0.00564566]","Commerce de détail, à l’exception des automobiles et des motocycles"
dairy,Shop focused on selling dairy products.,"[-0.23872586  0.24145885  0.57977147 -0.30153795  0.5687432  -0.05336978
 -0.10171243 -0.14635446 -0.01593178]",Industries alimentaires
deli,"Shop focused on selling delicatessen (fine foods, gourmet foods), possibly also fine wine. Not to be confused with the US delis.","[-0.20337447  0.24465479  0.5870805  -0.31568444  0.60734021 -0.02131904
 -0.13279601 -0.18648645 -0.01067784]",Autres industries extractives
farm,Shop or roadside stand focused on selling freshly harvested farm produce,"[-0.23892904  0.23929675  0.68475616 -0.34312037  0.69501564 -0.0728346
 -0.13257739 -0.20317648 -0.00465895]",Industries alimentaires
food,"Shop focused on selling food, more specific value should be used if possible.
shop=food + food=prepared_meals was also proposed/used for type of shop selling prepared meals, not ready for eating immediately (and requiring for example heating/boiling or other simple preparation).","[-0.19079776  0.2430073   0.62946548 -0.38569921  0.65498971 -0.01642002
 -0.16663959 -0.20382338 -0.01104939]",Autres industries manufacturières
frozen_food,Shop focused on selling frozen food.,"[-0.23667939  0.22882785  0.58759654 -0.29466966  0.58317083 -0.04583272
 -0.1188158  -0.17488575 -0.02920862]",Industries alimentaires
greengrocer,Shop focused on selling vegetables and fruits.,"[-0.210864    0.23971821  0.64766236 -0.36807702  0.63189343 -0.03526317
 -0.16684221 -0.2016828  -0.0062836 ]",Industries alimentaires
health_food,"A health food shop; selling wholefoods, vitamins, nutrition supplements and meat and dairy alternatives.","[-0.18906699  0.25562304  0.65223837 -0.41470786  0.63583003 -0.00344404
 -0.21515101 -0.22829992 -0.01878847]",Industrie pharmaceutique
ice_cream,Shop selling ice cream. See also amenity=ice_cream.,"[-0.20935466  0.25286814  0.58559255 -0.33258294  0.62511769 -0.04471067
 -0.16105793 -0.1688026   0.01988359]",Restauration
